Index,OMH Blood Glucose Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Blood Glucose Element|FHIR Attribute|Mapping Instructions|
1,blood-glucose-2.0.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents a person's blood glucose level,,OMH to FHIR Observation Profile,Profile,,,,|1|blood-glucose-2.0.json|OMH to FHIR Observation Profile||
2.1,body.blood_glucose,unit-value-1.0.json,1..1,blood glucose,,Observation.valueQuantity,Quantity,1..1,,see valueQuantity elements below,|2.1|body.blood_glucose|Observation.valueQuantity|see valueQuantity elements below|
2.2,body.blood_glucose.value,number,1..1,blood glucose value,,Observation.valueQuantity.value,decimal,0..1,,=  body.blood_glucose.value,|2.2|body.blood_glucose.value|Observation.valueQuantity.value|=  body.blood_glucose.value|
2.3,body.blood_glucose.unit,string,1..1,blood glucose unit,,Observation.valueQuantity.unit,string,0..1,,=  body.blood_glucose.unit,|2.3|body.blood_glucose.unit|Observation.valueQuantity.unit|=  body.blood_glucose.unit|
2.4,body.blood_glucose.unit,,,,,valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|2.4|body.blood_glucose.unit|valueQuantity.system|fixed to 'http://unitsofmeasure.org'|
2.5,body.blood_glucose.unit,,,,,valueQuantity.code,string,0..1,OMH_FHIR_Concept_Mapping_Table,Map body.blood_glucose.unit to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|2.5|body.blood_glucose.unit|valueQuantity.code|Map body.blood_glucose.unit to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
3,body.effective_time_frame,time-frame,1..1,when the measurement was taken,,Observation.effective[x],varies,0..1,,Mappping depends on type- see below,|3|body.effective_time_frame|Observation.effective[x]|Mappping depends on type- see below|
5,body.effective_time_frame.date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectiveDateTime,string,0..1,,=  body.effective_time_frame.date_time,|5|body.effective_time_frame.date_time|Observation.effectiveDateTime|=  body.effective_time_frame.date_time|
4,body.effective_time_frame.time_interval,time-interval,1..1,"This schema describes an interval of time. In the absence of a precise start and/or end time, the time interval can be described as a date + a part of the day (morning, afternoon, evening, night). No commitments are made as to whether the start or end time point itself is included in the interval (i.e., whether the defined interval includes the boundary point(s) or not).
",,Observation.effectivePeriod,Period,0..1,,see effectivePeriod.elements below,|4|body.effective_time_frame.time_interval|Observation.effectivePeriod|see effectivePeriod.elements below|
6,body.effective_time_frame.time_interval.start_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.start,dateTime,0..1,,=  body.effective_time_frame.time_interval.start_date_time,|6|body.effective_time_frame.time_interval.start_date_time|Observation.effectivePeriod.start|=  body.effective_time_frame.time_interval.start_date_time|
