Index,OMH Oxygen Saturation Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Oxygen Saturation Element|FHIR Attribute|Mapping Instructions|
1,oxygen-saturation-2.0.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents a person's oxygen saturation.,,OMH to FHIR Observation Profile,Profile,,,,|1|oxygen-saturation-2.0.json|OMH to FHIR Observation Profile||
2.1,oxygen_saturation,unit-value-1.0.json,1..1,oxygen saturation,,Observation.valueQuantity,Quantity,1..1,,see valueQuantity elements below,|2.1|oxygen_saturation|Observation.valueQuantity|see valueQuantity elements below|
2.2,oxygen_saturation.value,number,1..1,oxygen saturation value,,Observation.valueQuantity.value,decimal,0..1,,=  oxygen_saturation.value,|2.2|oxygen_saturation.value|Observation.valueQuantity.value|=  oxygen_saturation.value|
2.3,oxygen_saturation.unit,string,1..1,oxygen saturation unit,,Observation.valueQuantity.unit,string,0..1,'%',=  '%',|2.3|oxygen_saturation.unit|Observation.valueQuantity.unit|=  '%'|
2.4,oxygen_saturation.unit,,,,,Observation.valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|2.4|oxygen_saturation.unit|Observation.valueQuantity.system|fixed to 'http://unitsofmeasure.org'|
2.5,oxygen_saturation.unit,,,,,Observation.valueQuantity.code,string,0..1,'%',=  '%',|2.5|oxygen_saturation.unit|Observation.valueQuantity.code|=  '%'|
3,body.effective_time_frame,time-frame,1..1,when the measurement was taken,,Observation.effective[x],varies,0..1,,Mappping depends on type- see below,|3|body.effective_time_frame|Observation.effective[x]|Mappping depends on type- see below|
4,body.effective_time_frame.date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectiveDateTime,string,0..1,,=  body.effective_time_frame.date_time,|4|body.effective_time_frame.date_time|Observation.effectiveDateTime|=  body.effective_time_frame.date_time|
5,body.effective_time_frame.time_interval,time-interval,1..1,"This schema describes an interval of time. In the absence of a precise start and/or end time, the time interval can be described as a date + a part of the day (morning, afternoon, evening, night). No commitments are made as to whether the start or end time point itself is included in the interval (i.e., whether the defined interval includes the boundary point(s) or not).
",,Observation.effectivePeriod,Period,0..1,,see effectivePeriod elements below,|5|body.effective_time_frame.time_interval|Observation.effectivePeriod|see effectivePeriod elements below|
6,body.effective_time_frame.time_interval.start_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.start,dateTime,0..1,,=  body.effective_time_frame.time_interval.start_date_time,|6|body.effective_time_frame.time_interval.start_date_time|Observation.effectivePeriod.start|=  body.effective_time_frame.time_interval.start_date_time|
7,body.effective_time_frame.time_interval.end_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.end,dateTime,0..1,,=  body.effective_time_frame.time_interval.end_date_time,|7|body.effective_time_frame.time_interval.end_date_time|Observation.effectivePeriod.end|=  body.effective_time_frame.time_interval.end_date_time|
8,body.measurement_method,string(enum),0..1,Currently pulse oximetry is the only method used for measuring oxygen saturation in a non-hospital setting,,Observation.code,CodeableConcept,1..1,,Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.,|8|body.measurement_method|Observation.code|Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.|
9,body.system,string(enum),0..1,"Oxygen saturation can be measured at different levels in the body and is labeled accordingly: peripheral, arterial, etc.""",,Observation.code,CodeableConcept,1..1,,Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.,|9|body.system|Observation.code|Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.|
