IEEE  Header,,,,,,Condition (IF True),HL7 FHIR R4 Provenance,,,,Mapping Instructions,Markdown Transform
Index,Old Header Element,IEEE Header Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|IEEE Header Element|FHIR Attribute|Mapping Instructions|
---,,---,,,,,---,,,,---,|---|---|---|---|
1,header.$schema,header.$schema,"JSON schema object (""http://json-schema.org/draft-07/schema#)",,This schema represents the header of a data transaction.,,OMH to FHIR  Provenance Profile,Profile,,,see Provenance elements below,|1|header.$schema|OMH to FHIR  Provenance Profile|see Provenance elements below|
2,,header.$id,,,URI for the schema,,None,,,,schema metadata,|2|header.$id|None|schema metadata|
3,,header.title,,,schema title,,None,,,,schema metadata,|3|header.title|None|schema metadata|
4,header.description,header.description,,,schema description,,None,,,,schema metadata,|4|header.description|None|schema metadata|
5,header.type,header.type,,,,,None,,,,schema metadata,|5|header.type|None|schema metadata|
6,header.definitions.date_time.$ref,header.definitions.date_time.$ref,,,,,None,,,,schema metadata,|6|header.definitions.date_time.$ref|None|schema metadata|
7,header.definitions.schema_id.$ref,header.definitions.schema_id.$ref,,,,,None,,,,schema metadata,|7|header.definitions.schema_id.$ref|None|schema metadata|
8,,header.definitions.frequency_unit_value.$ref,,,,,None,,,,schema metadata,|8|header.definitions.frequency_unit_value.$ref|None|schema metadata|
,,None,,,,,activity.text,string,1..1,"""transform""","fixed to ""transform""","||None|activity.text|fixed to ""transform""|"
,,None,,,,,target.reference,string,1..1,"""#""","fixed to ""#"" since  Provenance  is contained in Observation","||None|target.reference|fixed to ""#"" since  Provenance  is contained in Observation|"
,,None,,,,,recorded,instant,1..1,,System provided value indicates the instant the omh message was transformed to a FHIR resource.,||None|recorded|System provided value indicates the instant the omh message was transformed to a FHIR resource.|
,,None,,,,,policy,uri,0..1,"""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0""","fixed to ""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0"" Provenance.policy can optionally point to the  omh-fhir ig rules url used for the transformation","||None|policy|fixed to ""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0"" Provenance.policy can optionally point to the  omh-fhir ig rules url used for the transformation|"
,,None,,,,,agent[0].type.coding[0].system,uri,0..1,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""","fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""","||None|agent[0].type.coding[0].system|fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""|"
,,None,,,,,agent[0].type.coding[0].code,string,1..1,"""assembler""","fixed to ""assembler""","||None|agent[0].type.coding[0].code|fixed to ""assembler""|"
,,None,,,,,agent[0].type.coding[0].display,string,0..1,"""Assembler""","fixed to ""Assembler""","||None|agent[0].type.coding[0].display|fixed to ""Assembler""|"
,,None,,,,,agent[0].type.who.reference,string,1..1,,Provenance.agent.who references the Organization or Device performing the transformation.,||None|agent[0].type.who.reference|Provenance.agent.who references the Organization or Device performing the transformation.|
,,None,,,,,agent[1].type.text,string,,"""omh-schema""","fixed to ""omh-schema""","||None|agent[1].type.text|fixed to ""omh-schema""|"
,,None,,,,,entity[0],BackboneElement,0..1,,Provenance.entity is optional.  see entity elements below,||None|entity[0]|Provenance.entity is optional.  see entity elements below|
,,None,,,,,entity[0].role,code,1..1,"""source""","fixed to ""source""","||None|entity[0].role|fixed to ""source""|"
