OMH Header,,,,,Condition (IF True),HL7 FHIR R4 Observation,,,,Mapping Instructions,Markdown Transform
Index,OMH Header Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Header Element|FHIR Attribute|Mapping Instructions|
---,---,,,,,---,,,,---,|---|---|---|---|
1,header-1.2.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents the header of a data transaction.,,OMH to FHIR Observation Profile,Profile,,,,|1|header-1.2.json|OMH to FHIR Observation Profile||
2.1,header.id,string,1..1,The identifier of this data point. We strongly recommend this to be a globally unique value.,,,string,1..1,,concatenation of  header.schema_id.name = 'heart-rate'  + '-' + body.descriptive_statistic  for example= heart-rate-maximum,|2.1|header.id||concatenation of  header.schema_id.name = 'heart-rate'  + '-' + body.descriptive_statistic  for example= heart-rate-maximum|
2.2,header.id,NA,NA,NA,,identifier[0].system,uri,1..1,"""urn:ietf:rfc:3986""","fixed to ""urn:ietf:rfc:3986""","|2.2|header.id|identifier[0].system|fixed to ""urn:ietf:rfc:3986""|"
3,header.creation_date_time,date-time,1..1,The date time this data point was created on the system where data is stored.,,issued,Instant,1..1,,= header.creation_date_time,|3|header.creation_date_time|issued|= header.creation_date_time|
4,header.schema_id,schema-id,1..1,The schema identifier of the body of the data point.,,None,,,,,|4|header.schema_id|None||
5,header.schema_id.namespace,string,0..1,The namespace of the schema. A namespace serves to disambiguate schemas with conflicting names.,,None,,,,,|5|header.schema_id.namespace|None||
6A.1,header.schema_id.name,string,1..1,The name of the schema.,,category[0].coding[0].code,code,1..1,data_point_mapping_table,"Map header.schema_id.name to column ""Observation.category.code"" using  the [data_point_mapping_table](#)","|6A.1|header.schema_id.name|category[0].coding[0].code|Map header.schema_id.name to column ""Observation.category.code"" using  the [data_point_mapping_table](#)|"
6A.2,header.schema_id.name,,,,,category[0].coding[0].system,uri,1..1,"""http://terminology.hl7.org/CodeSystem/observation-category""","fixed to ""http://terminology.hl7.org/CodeSystem/observation-category""","|6A.2|header.schema_id.name|category[0].coding[0].system|fixed to ""http://terminology.hl7.org/CodeSystem/observation-category""|"
6B.1,header.schema_id.name,string,1..1,The name of the schema.,,code.coding[0].code,code,1..1,data_point_mapping_table,"Map header.schema_id.name to column ""Observation.code.code"" using  the [data_point_mapping_table](#)","|6B.1|header.schema_id.name|code.coding[0].code|Map header.schema_id.name to column ""Observation.code.code"" using  the [data_point_mapping_table](#)|"
6B.2,header.schema_id.name,,,,,code.coding[0].system,uri,1..1,data_point_mapping_table,"Map header.schema_id.name to column ""Observation.code.system"" using  the [data_point_mapping_table](#)","|6B.2|header.schema_id.name|code.coding[0].system|Map header.schema_id.name to column ""Observation.code.system"" using  the [data_point_mapping_table](#)|"
6B.3,header.schema_id.name,,,,,code.coding[0].display,string,1..1,data_point_mapping_table,"Map header.schema_id.name to column ""Observation.code.display"" using  the [data_point_mapping_table](#)","|6B.3|header.schema_id.name|code.coding[0].display|Map header.schema_id.name to column ""Observation.code.display"" using  the [data_point_mapping_table](#)|"
7,header.schema_id.version,string,1..1,"The version of the schema, e.g. 1.0.",,None,,,,,|7|header.schema_id.version|None||
7,header.schema_id.url,string(uri),0..1,"A URL to retrieve the schema. If a URL is not specified, it is assumed that the schema can be located using other means.",,None,,,,,|7|header.schema_id.url|None||
8,header.acquisition_provenance,object,0..1,,,None,,,,,|8|header.acquisition_provenance|None||
9,header.acquisition_provenance.source_name,string,1..1,The name of the source of the data.,,device.display,string,1..1,,= header.acquisition_provenance.source_name,|9|header.acquisition_provenance.source_name|device.display|= header.acquisition_provenance.source_name|
10.1,header.acquisition_provenance.source_data_point_id,string,0..1,The identifier of this data point at the source (immediately preceding step),,identifier[1].value,string,1..1,,"concatenation of  ""urn:uuid:"" + header.acquisition_provenance.source_data_point_id","|10.1|header.acquisition_provenance.source_data_point_id|identifier[1].value|concatenation of  ""urn:uuid:"" + header.acquisition_provenance.source_data_point_id|"
