OMH Header,,,,,Condition (IF True),HL7 FHIR R4 Observation,,,,Mapping Instructions,,Markdown Transform
Index,OMH Header Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,notes,|Index|OMH Header Element|FHIR Attribute|Mapping Instructions|
---,---,,,,,---,,,,---,,|---|---|---|---|
1,header-1.2.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents the header of a data transaction.,,OMH to FHIR  Provenance Profile,Profile,,,,,|1|header-1.2.json|OMH to FHIR  Provenance Profile||
1A,None,,,,,Provenance.activity.text,string,1..1,"""transform""","fixed to ""transform""",There is no code for transform in R4 spec so text for now judy text -consider pre-adoption of  value from R5 ,"|1A|None|Provenance.activity.text|fixed to ""transform""|"
!B,None,,,,,Provenance.target.reference,string,1..1,"""#""","fixed to ""#"" since  Provenance  is contained in Observation",may not make contained in future,"|!B|None|Provenance.target.reference|fixed to ""#"" since  Provenance  is contained in Observation|"
1C,None,,,,,Provenance.recorded,instant,1..1,,System provided value indicates the instant the omh message was transformed to a FHIR resource.,,|1C|None|Provenance.recorded|System provided value indicates the instant the omh message was transformed to a FHIR resource.|
1D,None,,,,,Provenance.policy,uri,0..1,"""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0""","fixed to ""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0"" Provenance.policy can optionally point to the  omh-fhir ig rules url used for the transformation",need to update this url when stabliized,"|1D|None|Provenance.policy|fixed to ""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0"" Provenance.policy can optionally point to the  omh-fhir ig rules url used for the transformation|"
1E.1,None,,,,,Provenance.agent[0].type.coding[0].system,uri,0..1,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""","fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,"|1E.1|None|Provenance.agent[0].type.coding[0].system|fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""|"
1E.2,None,,,,,Provenance.agent[0].type.coding[0].code,string,1..1,"""assembler""","fixed to ""assembler""",,"|1E.2|None|Provenance.agent[0].type.coding[0].code|fixed to ""assembler""|"
1E.3,None,,,,,Provenance.agent[0].type.coding[0].display,string,0..1,"""Assembler""","fixed to ""Assembler""",,"|1E.3|None|Provenance.agent[0].type.coding[0].display|fixed to ""Assembler""|"
1E.4,None,,,,,Provenance.agent[0].type.who.reference,string,1..1,,"Provenance.agent.who references the Organization or Device performing the transformation. For example, ""Device/example-r24-server""",,"|1E.4|None|Provenance.agent[0].type.who.reference|Provenance.agent.who references the Organization or Device performing the transformation. For example, ""Device/example-r24-server""|"
1F.1,None,,,,,Provenance.agent[1].type.text,string,,"""omh-schema""","fixed to ""omh-schema""",fro just the text instead of code -consider creating a code.,"|1F.1|None|Provenance.agent[1].type.text|fixed to ""omh-schema""|"
1F.2,None,,,,,Provenance.entity[0],backbone element,0..1,,Provenance.entity is optional.  see entity elements below,,|1F.2|None|Provenance.entity[0]|Provenance.entity is optional.  see entity elements below|
1F.3,None,,,,,Provenance.entity[0].role,code,1..1,"""derivation""","fixed to ""derivation""",,"|1F.3|None|Provenance.entity[0].role|fixed to ""derivation""|"
2.1,header.id,string,1..1,The identifier of this data point. We strongly recommend this to be a globally unique value.,,Provenance.entity[0].what.identifier[0].value,string,1..1,,"concatenation of  ""urn:uuid:"" + header.id",,"|2.1|header.id|Provenance.entity[0].what.identifier[0].value|concatenation of  ""urn:uuid:"" + header.id|"
2.2,header.id,NA,NA,NA,,Provenance.entity[0].what.identifier[0].system,string,1..1,"""urn:ietf:rfc:3986""","fixed to ""urn:ietf:rfc:3986""",,"|2.2|header.id|Provenance.entity[0].what.identifier[0].system|fixed to ""urn:ietf:rfc:3986""|"
3,header.creation_date_time,date-time,1..1,The date time this data point was created on the system where data is stored.,,None,,,,,,|3|header.creation_date_time|None||
4,header.schema_id,schema-id,1..1,The schema identifier of the body of the data point.,,None,,,,,,|4|header.schema_id|None||
5,header.schema_id.namespace,string,0..1,The namespace of the schema. A namespace serves to disambiguate schemas with conflicting names.,,Provenance.agent[1].type.who.identifier.value,string,0..1,,concatenation of  header.schema_id.namespace + header.schema_id.name + header.schema_id.version,if present,|5|header.schema_id.namespace|Provenance.agent[1].type.who.identifier.value|concatenation of  header.schema_id.namespace + header.schema_id.name + header.schema_id.version|
6,header.schema_id.name,string,1..1,The name of the schema.,,Provenance.agent[1].type.who.identifier.value,string,1..1,,concatenation of  header.schema_id.namespace + header.schema_id.name + header.schema_id.version,if present,|6|header.schema_id.name|Provenance.agent[1].type.who.identifier.value|concatenation of  header.schema_id.namespace + header.schema_id.name + header.schema_id.version|
7,header.schema_id.version,string,1..1,"The version of the schema, e.g. 1.0.",,Provenance.agent[1].type.who.identifier.value,string,1..1,,concatenation of  header.schema_id.namespace + header.schema_id.name + header.schema_id.version,if present,|7|header.schema_id.version|Provenance.agent[1].type.who.identifier.value|concatenation of  header.schema_id.namespace + header.schema_id.name + header.schema_id.version|
8,header.schema_id.url,string(uri),0..1,"A URL to retrieve the schema. If a URL is not specified, it is assumed that the schema can be located using other means.",,Provenance.agent[1].type.who.reference,string,0..1,,1:1 mapping of  header.schema_id.url,if present,|8|header.schema_id.url|Provenance.agent[1].type.who.reference|1:1 mapping of  header.schema_id.url|
9,header.acquisition_provenance,object,0..1,,,None,,,,,,|9|header.acquisition_provenance|None||
10.1,header.acquisition_provenance.source_name,,,,,Provenance.agent[2].type.coding[0].system,uri,0..1,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""","fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""",,"|10.1|header.acquisition_provenance.source_name|Provenance.agent[2].type.coding[0].system|fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""|"
10.2,header.acquisition_provenance.source_name,,,,,Provenance.agent[2].type.coding[0].code,string,1..1,"""AUT""","fixed to ""AUT""",,"|10.2|header.acquisition_provenance.source_name|Provenance.agent[2].type.coding[0].code|fixed to ""AUT""|"
10.3,header.acquisition_provenance.source_name,,,,,Provenance.agent[2].type.coding[0].display,string,0..1,Author,fixed to Author,,|10.3|header.acquisition_provenance.source_name|Provenance.agent[2].type.coding[0].display|fixed to Author|
10.4,header.acquisition_provenance.source_name,string,1..1,The name of the source of the data.,,Provenance.agent[2].who.display,string,1..1,,1:1 mapping of  header.acquisition_provenance.source_name,,|10.4|header.acquisition_provenance.source_name|Provenance.agent[2].who.display|1:1 mapping of  header.acquisition_provenance.source_name|
10,header.acquisition_provenance.source_data_point_id,string,0..1,The identifier of this data point at the source (immediately preceding step),,None,,,,,,|10|header.acquisition_provenance.source_data_point_id|None||
11,header.acquisition_provenance.source_creation_date_time,date-time,0..1,The date time (timestamp) of data creation at the source.,,None,,,,,,|11|header.acquisition_provenance.source_creation_date_time|None||
12,header.acquisition_provenance.last_modification_date_time,date-time,0..1,The date time (timestamp) of last data modification at the source,,None,,,,,,|12|header.acquisition_provenance.last_modification_date_time|None||
13,header.acquisition_provenance.modality,string (enum),0..1,sensed' | 'self-reported'  The modality whereby the measure is obtained.,,None,,,,,,|13|header.acquisition_provenance.modality|None||
14,header.user_id,string,0..1,The user this data point belongs to.,,None,,,,,,|14|header.user_id|None||
