Index,OMH Step Count Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Step Count Element|FHIR Attribute|Mapping Instructions|
1,step-count-1.0.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents a person's step count.,,OMH to FHIR Observation Profile,Profile,,,,|1|step-count-1.0.json|OMH to FHIR Observation Profile||
2.1,body.step_count,omh:unit-value:1.0 ,1..1,step count,,Observation.valueQuantity,Quantity,1..1,,"see valueQuantity elements below, if body.descriptive_statistic_denominator is present is modifies the units as described below","|2.1|body.step_count|Observation.valueQuantity|see valueQuantity elements below, if body.descriptive_statistic_denominator is present is modifies the units as described below|"
2.2,body.step_count.value,number,1..1,step count value,,Observation.valueQuantity.value,decimal,0..1,,=  body.step_count.value,|2.2|body.step_count.value|Observation.valueQuantity.value|=  body.step_count.value|
2.3,body.step_count.unit,string,1..1,step count unit,,Observation.valueQuantity.unit,string,0..1,'steps',IF body.descriptive_statistic_denominatoris present = concatenation of 'steps'  +   mapping of body.descriptive_statistic_denominator to column 'Unit' using  the [OMH_FHIR_Descriptive_Statistic_Denominator_Mapping _Table](#)  (for example 'steps/day')  ELSE  = 'steps',|2.3|body.step_count.unit|Observation.valueQuantity.unit|IF body.descriptive_statistic_denominatoris present = concatenation of 'steps'  +   mapping of body.descriptive_statistic_denominator to column 'Unit' using  the [OMH_FHIR_Descriptive_Statistic_Denominator_Mapping _Table](#)  (for example 'steps/day')  ELSE  = 'steps'|
2.4,body.step_count.unit,,,,,Observation.valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|2.4|body.step_count.unit|Observation.valueQuantity.system|fixed to 'http://unitsofmeasure.org'|
2.5,body.step_count.unit,,,,,Observation.valueQuantity.code,string,0..1,'{steps}',IF is present = concatenation of '{steps}'  + mapping of body.descriptive_statistic_denominator to column 'Code' using  the [OMH_FHIR_Descriptive_Statistic_Denominator_Mapping _Table](#)  (for example '{steps}/d')  ELSE  = '{steps}',|2.5|body.step_count.unit|Observation.valueQuantity.code|IF is present = concatenation of '{steps}'  + mapping of body.descriptive_statistic_denominator to column 'Code' using  the [OMH_FHIR_Descriptive_Statistic_Denominator_Mapping _Table](#)  (for example '{steps}/d')  ELSE  = '{steps}'|
3,body.effective_time_frame,time-frame,1..1,"As a measure of a duration, step count should not be associated to a date time time frame. Hence, effective time frame is restricted to be a time interval.",,Observation.effectivePeriod,Period,0..1,,see effectivePeriod elements below,|3|body.effective_time_frame|Observation.effectivePeriod|see effectivePeriod elements below|
4,body.effective_time_frame.time_interval,time-interval,1..1,"This schema describes an interval of time. In the absence of a precise start and/or end time, the time interval can be described as a date + a part of the day (morning, afternoon, evening, night). No commitments are made as to whether the start or end time point itself is included in the interval (i.e., whether the defined interval includes the boundary point(s) or not).
",,Observation.effectivePeriod,Period,0..1,,see effectivePeriod elements below,|4|body.effective_time_frame.time_interval|Observation.effectivePeriod|see effectivePeriod elements below|
4.1,body.effective_time_frame.time_interval.start_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.start,dateTime,0..1,,=  body.effective_time_frame.time_interval.start_date_time,|4.1|body.effective_time_frame.time_interval.start_date_time|Observation.effectivePeriod.start|=  body.effective_time_frame.time_interval.start_date_time|
4.2,body.effective_time_frame.time_interval.end_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.end,dateTime,0..1,,=  body.effective_time_frame.time_interval.end_date_time,|4.2|body.effective_time_frame.time_interval.end_date_time|Observation.effectivePeriod.end|=  body.effective_time_frame.time_interval.end_date_time|
